Article;Absolutes;Achievement;Avg_sent_length;Confidence;Empathy;Endophoric;Evidence;First_Person;FRE;Hedges;Intext_citations;Negate;Negative_emotions;Num_Authors;Pvalues;Page_length;Polarity;Ref_Diversity;Reward;Sample;Sensory;Subjectivity;Third_Person;Time_Delta;Volume;Word_count;Special;citationNumCrossRef;CitationNumGoogle;Rank
art_1;0.01;0.09;37.4;0;0;0;0;0.02;25.05;0.02;76;0.01;0.03;3;3;10;0.146;0.31;0.07;70;0;0.468;0.04;140;18;8940;0;125;305;1
art_2;0.01;0.09;30.6;0;0.01;0.02;0.01;0;31.96;0.01;65;0.01;0.02;2;2;10;0.129;0.45;0.06;33;0.01;0.408;0.05;143;18;7348;0;48;101;2
art_3;0;0.11;33.8;0;0;0.01;0.01;0.01;20.25;0.01;55;0;0.02;2;3;10;0.213;0.39;0.07;158;0;0.452;0.06;146;18;7944;0;86;221;1
art_4;0.01;0.06;24.9;0;0.01;0.01;0;0.01;29.28;0.02;53;0.01;0.08;2;4;9;0.082;0.55;0.03;23;0;0.413;0.04;146;18;7584;0;29;52;2
art_5;0.01;0.21;32.1;0;0.01;0;0;0;30.43;0.01;43;0.01;0.04;1;2;15;0.059;0.44;0.1;60;0;0.442;0.04;140;18;12426;0;31;63;2
art_6;0.01;0.06;32.9;0;0;0.01;0;0.01;21.16;0.02;59;0.02;0.03;2;2;12;0.04;0.34;0.03;45;0;0.412;0.03;140;18;9172;0;86;185;3
art_7;0.03;0.07;35.9;1;0.01;0.01;0.01;0.01;18.12;0.03;39;0.02;0.02;3;0;12;0.082;0.38;0.07;33;0;0.451;0.04;146;18;9308;0;65;164;3
art_8;0.02;0.09;35.2;0;0;0.01;0.01;0.01;18.83;0.01;68;0.01;0.02;2;4;16;0.15;0.52;0.11;15;0;0.537;0.04;149;18;11826;0;68;160;1
art_9;0;0.04;31.9;0;0;0.01;0.01;0.01;30.64;0.02;18;0.01;0.01;3;3;8;0.077;0.73;0.02;30;0;0.395;0.03;131;19;6506;0;17;55;17
art_10;0;0.13;37.5;0;0.01;0.01;0.01;0.01;24.95;0.02;48;0.01;0.03;3;3;9;0.127;0.49;0.03;24;0;0.347;0.03;137;19;7726;0;14;23;4
art_11;0;0.06;36.8;0;0;0;0;0.01;8.74;0.01;58;0;0.01;1;4;10;0.102;0.34;0.02;90;0;0.399;0.03;131;19;7108;0;18;31;11
art_12;0.01;0.13;34;0;0;0;0;0.01;28.51;0.02;50;0;0.03;3;2;8;0.113;0.38;0.1;71;0;0.456;0.05;131;19;7011;0;4;12;18
art_13;0.01;0.05;35.9;0;0.01;0.01;0;0.02;18.12;0.02;43;0.01;0;2;0;13;0.052;0.54;0.01;34;0;0.355;0.03;134;19;9859;0;33;45;1
art_14;0.02;0.11;37.9;0;0;0;0;0.01;16.09;0.01;42;0.01;0.06;2;2;7;0.107;0.21;0.12;94;0;0.489;0.04;131;19;5226;0;10;19;4
art_15;0.01;0.07;37.1;0;0;0.01;0;0.01;25.36;0.02;35;0.01;0.03;2;2;12;0.119;0.46;0.07;126;0;0.447;0.04;134;19;10605;0;3;13;2
art_16;0.01;0.11;36.8;0;0;0;0;0;17.2;0.02;49;0.02;0.01;3;3;13;0.097;0.68;0.11;15;0;0.463;0.04;128;19;9851;0;5;9;3
art_17;0.02;0.07;40.3;0;0;0;0;0.01;13.65;0.02;51;0.01;0.03;4;4;9;0.088;0.31;0.06;49;0;0.34;0.07;134;19;7620;0;17;41;5
art_18;0.01;0.18;31.9;0;0;0;0;0;22.18;0.02;40;0.01;0.01;2;2;8;0.063;0.5;0.09;136;0;0.427;0.04;128;19;5996;0;13;23;5
art_19;0.01;0.14;29.5;0;0.01;0.03;0.01;0.01;24.61;0.01;60;0.01;0.02;2;2;10;0.11;0.43;0.08;89;0;0.51;0.06;128;19;7309;0;109;224;1
art_20;0.01;0.06;32.7;0;0;0;0;0.01;29.82;0.02;47;0.01;0.01;3;2;10;0.098;0.61;0.03;68;0;0.438;0.06;131;19;7203;0;63;155;3
art_21;0.03;0.09;32;0;0;0.01;0.01;0.02;22.08;0.02;35;0.01;0.01;2;4;9;0.04;0.44;0.08;72;0.01;0.517;0.05;128;19;6822;0;18;35;2
art_22;0.01;0.13;33.7;0;0.01;0.01;0;0.01;28.81;0.03;75;0.01;0.03;3;3;13;0.166;0.47;0.3;15;0.01;0.504;0.05;134;19;11001;0;41;78;3
art_23;0.01;0.1;34.4;0;0.01;0.01;0.01;0.01;11.18;0.02;83;0.01;0.04;3;2;11;0.103;0.51;0.07;180;0.01;0.383;0.03;128;19;8423;0;7;11;6
art_24;0.01;0.07;27.6;0;0.01;0.01;0.01;0.01;18.08;0.02;55;0.01;0.01;2;4;11;0.04;0.47;0.03;35;0;0.503;0.04;131;19;7464;0;9;28;14
art_25;0.01;0.09;34.8;0;0;0.01;0.01;0.01;10.77;0.01;67;0.01;0.01;2;3;10;0.072;0.5;0.03;50;0;0.375;0.04;131;19;7336;0;8;12;13
art_26;0.02;0.12;26.4;0;0;0.01;0.01;0.01;36.22;0.02;62;0.01;0.01;2;3;9;0.063;0.64;0.02;120;0;0.392;0.04;131;19;7646;0;12;15;6
art_27;0.01;0.13;28.2;0;0;0.01;0.01;0.01;25.93;0.02;43;0;0.02;3;0;9;0.111;0.29;0.08;85;0;0.513;0.04;131;19;6973;0;17;37;1
art_28;0.01;0.38;34.3;0;0.01;0.01;0.01;0.01;19.74;0.02;53;0.01;0.01;2;2;8;0.24;0.39;0.16;215;0;0.487;0.05;128;19;6645;0;15;46;4
art_29;0.01;0.12;30.5;0;0.01;0.01;0.01;0.01;32.06;0.02;49;0.02;0.01;2;4;11;0.089;0.38;0.1;333;0;0.412;0.05;131;19;9106;0;65;128;5
art_30;0.01;0.16;31.6;0;0;0.01;0.01;0.01;22.48;0.02;40;0.01;0.05;3;0;8;0.116;0.47;0.05;95;0.01;0.438;0.04;131;19;6697;0;37;99;20
art_31;0.01;0.26;33.1;0;0.01;0.01;0;0.01;29.42;0.02;42;0.01;0.08;3;2;9;0.085;0.52;0.21;140;0;0.476;0.05;131;19;7800;0;13;36;15
art_32;0.01;0.08;32.7;0;0;0.01;0.01;0.01;12.9;0.03;29;0.01;0.03;3;2;12;0.095;0.39;0.03;100;0.03;0.481;0.04;131;19;9837;0;0;3;12
art_33;0.01;0.09;33.7;1;0;0.01;0.01;0.02;20.35;0.02;67;0.01;0.02;2;4;12;0.073;0.38;0.05;630;0;0.457;0.05;131;19;9056;0;30;62;10
art_34;0.01;0.05;35;0;0;0;0;0;27.49;0.02;98;0.01;0.01;1;3;14;0.103;0.38;0.04;293;0;0.35;0.05;131;19;11361;0;11;26;8
art_35;0.01;0.05;33;0;0;0.01;0.01;0.01;21.06;0.02;32;0.02;0.01;2;2;11;0.122;0.39;0.06;168;0;0.454;0.05;131;19;8906;0;14;25;2
art_36;0.01;0.18;31.7;0;0;0.01;0.01;0.02;30.84;0.02;47;0.01;0.03;2;4;9;0.183;0.66;0.14;16;0.01;0.493;0.06;134;19;7680;0;9;13;7
art_37;0.01;0.13;34.1;0;0;0;0;0.01;28.4;0.03;76;0.01;0.08;5;4;17;0.056;0.43;0.13;199;0.01;0.431;0.05;131;19;14059;0;29;63;7
art_38;0.01;0.13;30.8;0;0;0.01;0.01;0.01;23.29;0.02;51;0.01;0.01;4;2;9;0.117;0.4;0.07;11;0;0.443;0.05;137;19;7112;0;46;112;1
art_39;0.01;0.08;45.2;0;0;0.01;0;0.01;17.14;0.01;77;0.01;0;2;2;11;0.113;0.6;0.05;12;0;0.41;0.05;134;19;9989;0;67;140;4
art_40;0.01;0.08;32;0;0;0.01;0;0.01;22.08;0.01;53;0.01;0.02;4;4;13;0.075;0.57;0.04;60;0;0.435;0.03;131;19;9642;0;24;40;9
art_41;0.01;0.06;28.6;0;0;0.01;0.01;0.01;33.99;0.01;32;0.01;0.02;2;4;9;0.121;0.51;0.07;99;0;0.424;0.04;131;19;8066;0;52;96;21
art_42;0.01;0.06;30;0;0;0.01;0;0.01;15.65;0.02;69;0.01;0.01;2;2;10;0.084;0.47;0.04;55;0;0.458;0.05;137;19;7878;0;15;36;2
art_43;0.02;0.08;35.3;0;0;0.01;0.01;0.01;27.19;0.02;60;0.01;0.01;2;4;10;0.137;0.32;0.09;12;0.01;0.531;0.05;131;19;7664;0;14;32;19
art_44;0.01;0.17;38;0;0;0.01;0.01;0.02;15.99;0.01;67;0.02;0.01;2;2;14;0.041;0.38;0.12;198;0;0.523;0.06;137;19;9241;0;18;27;3
art_45;0.01;0.09;29;0;0;0;0;0;25.12;0.01;67;0.01;0.1;1;4;10;0.1;0.68;0.03;200;0;0.461;0.05;134;19;6904;0;17;36;6
art_46;0.01;0.04;31.6;0;0;0.01;0.01;0.01;30.94;0.02;32;0.01;0.01;2;3;10;0.088;0.37;0.03;541;0;0.382;0.04;131;19;8554;0;34;64;16
art_47;0.02;0.11;37.2;0;0.01;0.01;0;0.01;25.26;0.04;18;0.01;0.02;1;3;6;0.136;0.64;0.07;60;0;0.446;0.06;122;20;5130;0;71;148;2
art_48;0.01;0.16;39;0;0;0;0;0.01;14.97;0.01;58;0;0.01;2;0;11;0.122;0.42;0.11;61;0;0.431;0.04;125;20;8786;0;31;60;2
art_50;0.01;0.07;33.4;0;0;0.01;0;0.01;20.65;0.01;22;0.01;0;2;3;4;0.115;0.43;0.06;80;0;0.386;0.06;116;20;3104;1;23;43;6
art_51;0.01;0.11;33.2;0;0;0;0;0;12.4;0.02;32;0.01;0.02;3;4;7;0.139;0.4;0.06;160;0;0.531;0.03;119;20;5474;0;13;25;1
art_52;0.01;0.07;36.3;0;0;0.01;0;0.01;9.25;0.02;61;0.01;0.02;2;4;11;0.113;0.51;0.05;52;0;0.448;0.04;119;20;8793;0;5;12;7
art_53;0.01;0.27;35.2;0;0;0;0;0;35.75;0.01;74;0.01;0.01;3;3;9;0.06;0.51;0.15;20;0;0.412;0.03;125;20;7575;0;29;59;1
art_55;0.01;0.14;43.8;0;0;0.02;0.01;0.02;1.64;0.02;77;0.01;0.01;2;2;12;0.127;0.36;0.05;150;0;0.466;0.04;122;20;9646;0;12;19;1
art_56;0.01;0.09;29.5;0;0;0;0;0.01;24.61;0.01;32;0.01;0.02;3;4;11;0.145;0.33;0.05;358;0;0.444;0.03;116;20;8651;1;67;139;3
art_57;0.01;0.07;29.1;0;0.01;0;0;0.01;33.48;0.03;32;0.01;0.01;1;0;8;0.134;0.36;0.08;30;0;0.473;0.06;125;20;5782;0;699;1523;3
art_58;0.01;0.25;34.1;0;0;0;0;0.01;19.94;0.02;58;0.01;0.01;2;4;12;0.111;0.6;0.1;43;0;0.393;0.05;119;20;9489;0;25;56;2
art_59;0.01;0.07;28.3;0;0;0.02;0.02;0.03;34.29;0.01;59;0;0;3;2;8;0.15;0.44;0.05;73;0.03;0.471;0.04;116;20;6122;1;100;239;2
art_60;0.01;0.09;32.8;0;0;0.01;0.01;0.01;21.26;0.02;77;0;0.02;2;2;9;0.113;0.56;0.05;35;0;0.463;0.04;116;20;6233;1;60;121;7
art_61;0.01;0.07;32.5;0;0;0.02;0.01;0.02;30.03;0.02;35;0.01;0.01;3;0;9;0.104;0.67;0.02;13;0;0.449;0.04;119;20;7770;0;39;91;5
art_62;0.01;0.04;33.3;0;0.01;0.02;0.01;0.01;29.22;0.01;56;0.01;0.01;2;2;11;0.115;0.61;0.02;37;0;0.399;0.04;116;20;7562;1;76;123;1
art_63;0.01;0.21;32.7;0;0.01;0.02;0.01;0.02;29.82;0.02;56;0.01;0.02;4;4;10;0.157;0.47;0.16;198;0;0.475;0.04;119;20;8300;0;20;39;4
art_64;0.01;0.11;39.5;0;0.01;0.02;0.01;0.02;14.46;0.01;56;0.01;0.05;2;3;10;0.087;0.59;0.04;253;0;0.501;0.04;119;20;7829;0;39;62;3
art_65;0.01;0.11;38.3;0;0;0.02;0.01;0.02;24.14;0.02;60;0.01;0.02;4;4;11;0.119;0.44;0.07;31;0;0.441;0.03;119;20;8841;0;6;15;9
art_66;0.01;0.09;34;0;0;0.02;0.01;0.01;20.05;0.02;86;0.01;0.01;5;4;10;0.126;0.77;0.07;15;0;0.48;0.03;116;20;7077;1;155;336;4
art_67;0.01;0.18;28.6;0;0.01;0.01;0.01;0.01;33.99;0.02;13;0.01;0;2;2;4;0.112;0.65;0.06;203;0;0.41;0.05;119;20;3606;0;14;52;6
art_68;0.01;0.14;32.1;0;0.01;0.02;0.02;0.01;30.43;0.02;88;0.02;0.05;3;2;13;0.106;0.6;0.11;25;0;0.484;0.04;119;20;10018;0;21;34;8
art_69;0.01;0.12;33.6;0;0;0.01;0.01;0.01;20.45;0.02;19;0.01;0.01;2;4;6;0.123;0.76;0.05;255;0;0.422;0.04;116;20;5073;1;41;87;5
art_70;0.01;0.16;28.4;0;0;0.01;0.01;0.02;25.73;0.05;39;0.01;0.01;3;3;12;0.13;0.5;0.06;40;0;0.461;0.03;116;20;8884;1;20;44;8
art_71;0.03;0.24;28.2;0;0;0.01;0;0.01;25.93;0.03;44;0.01;0.01;2;2;8;0.167;0.58;0.23;88;0;0.52;0.05;104;21;5723;1;22;50;5
art_72;0.01;0.11;29.2;0;0.01;0;0;0.01;33.38;0.02;19;0.01;0.02;3;2;4;0.099;0.65;0.11;30;0;0.504;0.05;113;21;2981;1;38;103;1
art_73;0.01;0.15;36.8;0;0;0;0.01;0;25.66;0.02;31;0.01;0.01;2;4;7;0.035;0.5;0.06;70;0;0.398;0.03;113;21;4712;1;39;91;7
art_74;0.01;0.08;24.7;0;0;0.01;0;0.01;21.02;0.02;77;0.01;0.05;2;4;13;0.044;0.44;0.04;80;0;0.431;0.04;107;21;9797;0;34;79;8
art_75;0;0.29;46.1;1;0.01;0;0;0.02;16.22;0.02;51;0.01;0.02;3;4;8;0.186;0.26;0.22;222;0;0.472;0.05;104;21;6227;1;18;40;6
art_76;0.01;0.07;37;0;0;0.01;0.01;0.01;17;0.02;72;0.01;0.02;2;4;13;0.031;0.47;0.07;12;0;0.464;0.05;113;21;10259;1;28;78;4
art_77;0.01;0.16;33;0;0.01;0.01;0.01;0.01;29.52;0.01;49;0.01;0.02;2;2;15;0.109;0.59;0.05;95;0;0.419;0.04;107;21;13191;0;14;18;3
art_78;0.02;0.2;39.8;0;0;0.01;0.01;0.01;5.7;0.01;53;0;0.02;4;3;9;0.095;0.58;0.17;34;0;0.435;0.04;107;21;7168;0;31;78;6
art_79;0.01;0.05;39;0;0.01;0.01;0.01;0.01;14.97;0.02;42;0.01;0.01;3;4;10;0.073;0.37;0.08;103;0;0.424;0.05;113;21;8390;1;41;77;5
art_80;0.01;0.16;33.9;0;0;0.01;0.01;0.01;20.15;0.01;52;0.01;0.02;3;4;12;0.109;0.49;0.05;84;0;0.513;0.04;107;21;9906;0;5;11;4
art_81;0.01;0.07;36.5;0;0;0;0;0.02;25.97;0.02;53;0.01;0.01;2;2;10;0.042;0.61;0.03;100;0;0.395;0.04;107;21;8842;0;28;51;1
art_82;0.01;0.09;34.7;0;0;0.01;0;0.01;27.79;0.02;73;0.01;0.01;2;0;7;0.019;0.39;0.06;20;0;0.456;0.04;113;21;5489;1;37;76;8
art_83;0.01;0.13;33.2;0;0;0;0;0;20.86;0.01;76;0.01;0.07;3;4;11;0.085;0.59;0.03;22;0;0.471;0.03;107;21;7367;0;7;15;7
art_84;0.01;0.13;37.1;0;0;0.01;0.01;0.01;25.36;0.02;56;0.01;0.03;4;2;7;0.087;0.68;0.14;45;0;0.503;0.04;104;21;5526;1;78;172;1
art_85;0.01;0.1;33;0;0;0.01;0.01;0.01;37.98;0.01;59;0;0.01;3;4;10;0.082;0.56;0.1;23;0;0.47;0.04;110;21;8210;0;15;38;1
art_86;0.01;0.14;40.4;0;0.01;0;0;0.01;22.01;0.04;65;0.01;0.13;3;3;8;0.089;0.6;0.02;34;0;0.44;0.03;104;21;6215;1;33;65;2
art_87;0.01;0.15;27;0;0.01;0.01;0.01;0.01;27.15;0.03;47;0.01;0.03;2;4;4;0.14;0.48;0.1;180;0;0.478;0.03;113;21;2998;1;25;62;2
