Article;Absolutes;Achievement;Avg_sent_length;Confidence;Empathy;Endophoric;Evidence;First_Person;FRE;Hedges;Intext_citations;Negate;Negative_emotions;Num_Authors;Pvalues;Page_length;Polarity;Ref_Diversity;Reward;Sample;Sensory;Subjectivity;Third_Person;Time_Delta;Volume;Word_count;Special;citationNumCrossRef;CitationNumGoogle;Rank
art_149;0.01;0.05;25.1;1;0.01;0.02;0.02;0.04;37.54;0.02;13;0.01;0.02;2;2;7;0.107;0.94;0.04;176;0;0.494;0.04;86;23;4494;0;5;9;3
art_150;0.01;0.06;28;0;0;0.01;0.01;0.01;34.6;0.02;35;0.01;0.02;2;3;7;0.143;0.64;0.06;30;0.01;0.494;0.03;86;23;5295;0;6;13;4
art_151;0.01;0.07;33.3;0;0.01;0.01;0.01;0.01;29.22;0.03;25;0.01;0.02;2;4;11;0.136;0.55;0.08;142;0;0.447;0.05;89;23;9836;0;3;5;3
art_152;0.01;0.22;30.2;1;0.01;0.02;0.02;0.01;23.9;0.01;76;0.01;0.01;2;2;12;0.104;0.51;0.12;58;0;0.411;0.04;89;23;9574;0;8;18;4
art_153;0.01;0.13;33.1;1;0;0.02;0.01;0.02;20.96;0.01;62;0.01;0.01;2;3;13;0.131;0.45;0.04;167;0;0.411;0.03;68;24;7969;0;15;43;5
art_154;0;0.11;36.3;0;0;0;0;0.01;26.17;0.02;29;0.01;0.01;2;4;7;0.102;0.58;0.02;56;0.04;0.411;0.03;74;24;4216;1;105;223;5
art_155;0;0.03;35;0;0;0;0;0.01;19.03;0.01;26;0.01;0.11;4;4;5;0.024;0.67;0.02;105;0;0.405;0.03;71;24;3957;0;20;35;7
art_156;0.01;0.15;30.6;0;0;0.01;0.01;0.01;23.5;0.02;74;0.01;0.02;2;2;7;0.085;0.52;0.11;192;0;0.369;0.04;77;24;5026;0;27;52;7
art_157;0.01;0.2;33.5;0;0;0.01;0.01;0.02;29.01;0.01;50;0;0.03;3;2;6;0.181;0.74;0.15;65;0.01;0.467;0.04;71;24;4193;0;8;22;8
art_158;0.01;0.08;31.7;0;0;0.01;0.01;0.02;30.84;0.01;29;0.01;0.02;4;0;5;0.096;0.71;0.07;16;0.03;0.423;0.03;74;24;3903;1;12;26;9
art_159;0.01;0.06;41.5;1;0;0;0;0.01;20.89;0.01;53;0.01;0.02;4;4;15;0.144;0.57;0.13;211;0;0.466;0.05;71;24;10990;0;66;124;3
art_160;0.01;0.08;31.7;0;0;0.01;0.01;0.02;13.92;0.02;69;0.01;0.04;2;0;12;0.062;0.57;0.07;180;0.01;0.488;0.05;68;24;7774;0;6;18;6
art_161;0.01;0.05;30.7;0;0;0.01;0.01;0.01;31.85;0.02;26;0.01;0.03;4;3;8;0.05;0.72;0.03;119;0;0.438;0.06;77;24;6377;0;14;35;6
art_162;0.01;0.08;31.2;0;0;0.01;0;0.01;39.81;0.02;18;0.01;0.02;2;2;6;-0.092;0.57;0.07;22;0;0.598;0.06;77;24;4674;0;7;17;5
art_163;0.02;0.05;28;1;0.01;0.02;0.02;0.02;34.6;0.01;21;0.01;0.01;3;3;6;0.1;0.69;0.02;50;0;0.427;0.04;74;24;4640;1;38;88;2
art_164;0;0.15;29.5;0;0;0.02;0.01;0.01;24.61;0.02;38;0;0.01;3;2;7;0.163;0.66;0.12;124;0;0.449;0.04;71;24;5039;0;16;34;4
art_165;0.01;0.07;29.3;0;0;0.01;0.01;0.02;16.36;0.02;59;0;0.03;3;0;6;0.127;0.61;0.12;56;0.03;0.376;0.05;74;24;4490;1;10;24;6
art_166;0.01;0.39;39;0;0;0.01;0.01;0.02;14.97;0.01;66;0.01;0.01;3;2;7;0.157;0.69;0.09;289;0;0.516;0.04;74;24;5103;1;12;30;10
art_167;0.02;0.32;36.9;1;0.01;0.01;0.01;0.01;17.1;0.01;43;0.01;0.01;3;4;12;0.123;0.5;0.12;96;0;0.431;0.05;68;24;9265;0;12;15;3
art_168;0.01;0.26;34.1;0;0;0.01;0.01;0.02;28.4;0.02;73;0.01;0.02;3;0;16;0.161;0.43;0.11;62;0.01;0.471;0.06;68;24;12737;0;48;85;1
art_169;0.01;0.07;31.9;1;0.01;0.01;0.01;0.02;30.64;0.02;72;0.01;0.01;3;4;11;0.12;0.64;0.04;19;0;0.464;0.04;74;24;8079;1;20;39;3
art_170;0.01;0.07;34;0;0;0.01;0;0.01;11.59;0.01;25;0.02;0.03;2;4;7;0.067;0.82;0.21;13;0;0.413;0.02;68;24;4321;0;10;13;8
art_171;0.01;0.25;33.4;1;0.01;0.01;0.01;0.01;29.11;0.02;57;0.01;0.02;3;4;12;0.102;0.59;0.14;10;0;0.453;0.05;74;24;9889;1;16;31;8
art_172;0.03;0.17;54.4;0;0;0;0;0.01;-9.13;0.01;61;0.01;0.07;2;4;12;0.13;0.44;0.11;208;0;0.49;0.04;71;24;8980;0;3;6;2
art_173;0.05;0.21;37.1;0;0;0.01;0.01;0.02;16.9;0.02;85;0.01;0.03;2;3;14;0.098;0.52;0.18;267;0;0.433;0.03;77;24;10244;0;3;3;3
art_174;0.01;0.07;29.7;0;0;0.01;0.01;0.02;24.41;0.02;30;0.01;0.08;3;4;7;-0.002;0.38;0.06;42;0;0.459;0.04;71;24;4787;0;28;54;6
art_175;0.02;0.07;34.4;0;0;0.01;0;0.01;19.64;0.02;56;0.01;0.04;2;3;15;0.068;0.45;0.06;12;0;0.419;0.05;77;24;12762;0;8;10;2
art_176;0.01;0.05;30.1;1;0;0.01;0.01;0.01;40.92;0.01;22;0.01;0.01;2;0;8;0.036;0.77;0.04;35;0;0.402;0.04;74;24;6964;1;18;34;4
art_177;0.01;0.1;29.6;0;0;0.01;0.01;0.02;24.51;0.02;66;0.01;0.01;1;0;10;0.043;0.55;0.05;15;0.02;0.384;0.04;74;24;7288;1;11;20;7
art_178;0.02;0.38;34.4;0;0.01;0.01;0.01;0.02;11.18;0.02;39;0.01;0.02;2;2;7;0.128;0.54;0.12;28;0;0.435;0.05;68;24;4716;0;11;22;7
art_179;0.01;0.1;32.8;0;0;0;0;0.01;21.26;0.02;66;0.01;0.01;2;2;9;0.067;0.56;0.09;85;0.01;0.382;0.04;71;24;7209;0;22;31;5
art_180;0.01;0.05;36.4;0;0;0.02;0.01;0.01;17.61;0.01;64;0;0.01;4;0;11;0.081;0.56;0.04;187;0;0.518;0.06;68;24;8741;0;17;30;2
art_181;0.01;0.04;31;0;0;0.01;0;0.01;31.55;0.01;40;0.01;0.01;3;4;7;0.018;0.59;0.03;19;0;0.394;0.04;74;24;5665;1;17;51;1
art_182;0.02;0.29;33.5;1;0;0;0;0;29.01;0.02;34;0.01;0.01;1;3;8;0.094;0.44;0.15;88;0;0.397;0.05;68;24;5632;0;7;22;4
art_183;0.01;0.46;41.6;1;0;0.01;0.01;0.01;20.79;0.01;76;0;0.01;2;4;13;0.087;0.37;0.13;65;0;0.372;0.04;77;24;10307;0;16;33;4
art_184;0.01;0.06;28.2;0;0;0.01;0.01;0.01;34.39;0.01;32;0.01;0.05;5;0;7;0.009;0.72;0.05;160;0.02;0.416;0.05;71;24;4909;0;17;30;1
art_185;0.01;0.07;34;0;0.01;0;0;0.01;28.51;0.02;44;0.01;0.02;3;4;13;0.089;0.26;0.04;44;0;0.434;0.06;77;24;11140;0;23;51;1
art_186;0.01;0.08;34.4;1;0;0.01;0;0.01;28.1;0.01;32;0.01;0.02;3;2;5;0.066;0.48;0.06;26;0;0.4;0.06;62;25;4065;0;6;15;10
art_187;0.01;0.12;34.6;0;0;0.01;0.01;0.01;19.44;0.02;42;0.02;0.02;3;3;12;0.083;0.58;0.05;30;0;0.455;0.04;56;25;8645;0;4;7;5
art_188;0.02;0.06;36.4;1;0.01;0.01;0.01;0.01;17.61;0.02;34;0;0.02;2;4;8;0.102;0.54;0.03;303;0;0.405;0.05;59;25;5172;1;1;2;8
art_189;0.02;0.16;28.6;1;0;0.01;0.01;0.01;25.53;0.03;52;0.01;0.01;2;4;12;0.114;0.52;0.09;53;0;0.513;0.04;56;25;10359;0;17;27;6
art_190;0.01;0.11;43.3;1;0;0;0;0.01;10.61;0.01;170;0.01;0.03;3;4;25;0.121;0.4;0.06;50;0;0.464;0.03;62;25;17048;0;105;261;12
art_191;0.01;0.11;35.2;1;0;0;0;0.01;18.83;0.01;41;0.01;0.04;4;2;18;0.202;0.22;0.24;51;0;0.504;0.07;56;25;13177;0;20;34;4
art_192;0.01;0.1;32.1;0;0;0.02;0.01;0.01;13.51;0.01;47;0;0.07;2;1;7;-0.094;0.58;0.05;52;0;0.474;0.03;59;25;4977;1;17;25;9
art_193;0.01;0.12;34.8;0;0;0.01;0.01;0.02;19.23;0.02;99;0.01;0.03;3;3;14;0.079;0.51;0.08;65;0;0.393;0.05;59;25;11842;1;12;32;3
art_194;0.01;0.04;31.9;0;0;0.01;0;0.02;22.18;0.01;28;0.01;0.02;1;2;8;0.043;0.83;0.02;20;0;0.33;0.03;62;25;5172;0;14;34;11
